STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,LOCAL_REVENUE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE,TOTAL_SCORE
3,1994,312695.0,1393287.0,132108.0,450783.0,75434.0,105349.0,1652.0,231.54545454545453,269.75,209.0,258.8181818181818,969.1136363636363
4,1994,4120498.0,23440845.0,2095878.0,8169417.0,1615630.0,1916061.0,66450.0,227.9090909090909,269.1666666666667,197.0,255.0,949.0757575757576
5,1994,549570.0,3061865.0,165539.0,1626794.0,95796.0,328219.0,9853.0,239.4,283.1818181818182,213.0,267.6,1003.1818181818182
6,1994,479522.0,4268860.0,142392.0,2589404.0,150749.0,53083.0,7601.0,239.9090909090909,282.25,222.0,270.1818181818182,1014.340909090909
7,1994,103782.0,705798.0,50572.0,207796.0,30320.0,50805.0,618.0,237.2,277.1818181818182,206.0,263.6363636363636,984.0181818181818
8,1994,80678.0,735720.0,79432.0,656288.0,63271.0,22568.0,5508.0,216.54545454545453,251.16666666666666,179.0,242.8181818181818,889.530303030303
9,1994,2039884.0,12315950.0,890498.0,5267035.0,898855.0,1769738.0,47993.0,238.8,273.45454545454544,205.0,261.27272727272725,978.5272727272727
10,1994,1235304.0,6824191.0,449430.0,2901183.0,405376.0,723316.0,12859.0,232.54545454545453,272.8333333333333,207.0,260.54545454545456,972.9242424242425
11,1994,181212.0,1133949.0,77993.0,30143.0,93482.0,114779.0,631.0,232.1818181818182,269.5833333333333,201.0,254.54545454545453,957.310606060606
12,1994,236774.0,949999.0,77626.0,296267.0,44562.0,99924.0,1501.0,237.0,281.8333333333333,221.0,266.7,1006.5333333333333
13,1994,1875956.0,11309803.0,628532.0,6983524.0,446271.0,508619.0,42938.0,235.4,278.90909090909093,218.66666666666666,265.55555555555554,998.5313131313131
14,1994,963071.0,6121754.0,286351.0,3080801.0,273493.0,551285.0,4660.0,241.1818181818182,282.25,220.0,265.9,1009.3318181818182
15,1994,497925.0,2987394.0,139312.0,1508170.0,120252.0,195410.0,5901.0,240.0909090909091,283.8181818181818,223.0,266.55555555555554,1013.4646464646464
16,1994,457744.0,2700587.0,134686.0,1025174.0,156331.0,172340.0,2640.0,242.6,286.1,222.0,266.8181818181818,1017.5181818181818
17,1994,490069.0,2491948.0,238630.0,691978.0,145930.0,126669.0,17934.0,233.63636363636363,274.3333333333333,212.0,265.54545454545456,985.5151515151515
18,1994,798312.0,3571864.0,437307.0,1220169.0,270613.0,197625.0,19292.0,226.63636363636363,265.5,197.0,254.63636363636363,943.7727272727273
19,1994,211731.0,1357116.0,77393.0,669882.0,72234.0,73376.0,1006.0,240.0,284.0,228.0,268.90909090909093,1020.909090909091
20,1994,772638.0,5141505.0,258611.0,2880512.0,254041.0,387699.0,18834.0,236.8181818181818,278.9166666666667,210.0,265.72727272727275,991.4621212121212
21,1994,877384.0,6410757.0,312111.0,3979200.0,189810.0,282757.0,13982.0,246.0,292.3636363636364,223.0,273.72727272727275,1035.090909090909
22,1994,1601845.0,11762546.0,658039.0,7614692.0,803226.0,877390.0,4409.0,234.36363636363637,276.1666666666667,217.83333333333334,263.5,991.8636363636364
23,1994,802913.0,5262482.0,224106.0,2215427.0,490949.0,565106.0,8060.0,245.0,290.0,218.0,268.3,1021.3
24,1994,503374.0,1911579.0,296345.0,566467.0,148515.0,159184.0,1146.0,226.27272727272728,264.45454545454544,202.0,253.0909090909091,945.8181818181819
25,1994,852324.0,4488359.0,294270.0,2104644.0,245316.0,443146.0,16002.0,236.0909090909091,279.27272727272725,217.0,265.6363636363636,998.0
26,1994,163968.0,878986.0,83029.0,349565.0,36336.0,50333.0,483.0,240.4,286.8181818181818,222.0,269.8181818181818,1019.0363636363636
27,1994,283962.0,1710913.0,101579.0,1080591.0,63108.0,173484.0,3985.0,238.0,282.9166666666667,220.0,267.6,1008.5166666666668
28,1994,235800.0,1266549.0,56664.0,392669.0,44739.0,184082.0,1424.0,232.0,272.8,211.36363636363637,256.09090909090907,972.2545454545455
29,1994,181688.0,1145147.0,37805.0,1017786.0,38919.0,34260.0,1210.0,246.3,287.6363636363636,223.0,271.77777777777777,1028.7141414141415
30,1994,651554.0,6957898.0,293378.0,3561798.0,268715.0,320715.0,10283.0,244.0,286.90909090909093,219.0,271.8888888888889,1021.7979797979799
31,1994,286759.0,1342868.0,164101.0,196530.0,63549.0,129528.0,4174.0,226.27272727272728,266.25,205.0,253.9090909090909,951.4318181818181
32,1994,2702937.0,23933662.0,1442038.0,13399349.0,992378.0,1717307.0,32227.0,235.36363636363637,277.0833333333333,212.0,264.3636363636364,988.8106060606061
